    date    | is_weekend 
------------+------------
 2024-12-09 | No
 2024-12-03 | No
 2024-12-10 | No
 2024-12-04 | No
 2024-12-05 | No
 2024-12-03 | No
 2024-12-06 | No
 2024-12-09 | No
 2024-12-10 | No
 2024-12-04 | No
 2024-12-03 | No
 2024-12-05 | No
 2024-12-06 | No
 2024-12-09 | No
 2024-12-10 | No
 2024-12-03 | No
 2024-12-04 | No
 2024-12-05 | No
 2024-12-06 | No
 2024-12-09 | No
 2024-12-03 | No
 2024-12-10 | No
 2024-12-04 | No
 2024-12-05 | No
 2024-12-06 | No
 2024-12-03 | No
 2024-12-09 | No
 2024-12-10 | No
 2024-12-04 | No
 2024-12-05 | No
 2024-12-06 | No
 2024-12-09 | No
 2024-12-10 | No
 2024-12-04 | No
 2024-12-05 | No
 2024-12-06 | No
(36 rows)

